Date,Time,Crop_Type,Solar_Energy_Production_kWh,Temperature_C,Rainfall_mm,Soil_Moisture_Content,Area_in_Hectares,Production_in_Tons,Crop_Yield_tons_ha,pH
7/1/2020,14:30:00,Lettuce,0.895,23.38,24.23,49.1,0.29,8.11,2.29,6.91
7/1/2020,16:45:00,Lettuce,0.11,25.63,11.39,50.56,2.28,3.51,3.41,5.12
7/1/2020,19:15:00,Lettuce,1.94,30.41,28.15,48.9,0.36,2.6,0.53,5.21
7/1/2020,21:30:00,Lettuce,0,28.09,14.36,45.44,2.83,9.65,1.61,6.77
8/1/2020,0:00:00,Lettuce,0,26.39,27.05,42.88,2.61,1.1,1.82,5.47
8/1/2020,2:30:00,Lettuce,0,23.03,23.85,45.49,4.87,2.02,2.57,5.16
8/1/2020,4:45:00,Lettuce,0,28.44,10.53,48.01,5.3,1.82,3.02,6.86
8/1/2020,7:15:00,Lettuce,2.925,31.51,27.59,50.95,3.85,2.69,1.75,6.48
8/1/2020,9:30:00,Lettuce,0.425,30.4,25.88,47.84,1.71,6.33,2.1,6.01
8/1/2020,12:00:00,Lettuce,0.97,31.79,24.51,44.37,1.4,5.8,0.22,6.02
8/1/2020,14:30:00,Lettuce,0.295,24.34,22.21,42.51,2.31,5.51,4.32,5.5
8/1/2020,16:45:00,Lettuce,0.59,28.64,26.45,41.66,1.1,5.8,1.11,5.89
8/1/2020,19:15:00,Lettuce,0.135,27.5,28.57,42.38,2.11,1.87,2.56,5.46
8/1/2020,21:30:00,Lettuce,0,30.48,24.71,41.13,3.94,0.57,3.25,5.34
9/1/2020,0:00:00,Lettuce,0,29.53,11.22,42.62,0.71,2.01,3.33,5.75
9/1/2020,2:30:00,Lettuce,0,24.32,13.06,45.48,1.17,6.81,4.96,5.68
9/1/2020,4:45:00,Lettuce,0,29.86,19.7,46.31,2.65,7.1,1.53,5.07
9/1/2020,7:15:00,Lettuce,2.18,25.1,22.13,50.97,2.67,7.99,2.37,5.91
9/1/2020,9:30:00,Lettuce,1.96,26.3,25.5,50.86,1.12,1.71,0.33,6.74
9/1/2020,12:00:00,Lettuce,1.255,31.67,21.67,41.76,3.05,0.67,2.61,5.57
9/1/2020,14:30:00,Lettuce,2.785,31.21,20.26,38.71,0.8,5.3,3.07,6.45
9/1/2020,16:45:00,Lettuce,1.09,27.47,24.59,49.92,3.51,7.71,0.88,6.05
9/1/2020,19:15:00,Lettuce,2.88,26.25,15.9,46.6,0.46,4.57,2.82,5.49
9/1/2020,21:30:00,Lettuce,0,25.98,19.97,43.89,2.19,1.78,3.4,6.72
10/1/2020,0:00:00,Lettuce,0,24.3,11.47,40,2.63,3.33,3.23,6.99
10/1/2020,2:30:00,Lettuce,0,27,21.03,43.76,1.68,8.47,3.14,6.13
10/1/2020,4:45:00,Lettuce,0,23.63,24.61,44.18,5.16,3.03,5.44,5.18
10/1/2020,7:15:00,Lettuce,0.265,29.14,13.56,48.19,4.93,1.63,4.32,5.71
10/1/2020,9:30:00,Lettuce,0.55,24.89,20.29,45.8,4.01,5.55,0.64,5.85
10/1/2020,12:00:00,Lettuce,1.47,27.51,20.33,37,2.58,9,3.08,6.64
10/1/2020,14:30:00,Lettuce,0.115,27.46,17.92,42.33,3.74,1.92,3.35,6.79
10/1/2020,16:45:00,Lettuce,1.67,29.6,19.07,47.12,3.76,10.32,4.53,5.56
10/1/2020,19:15:00,Lettuce,1.295,28.08,19.25,47.16,3.27,5.43,1.56,6
10/1/2020,21:30:00,Lettuce,0,23.64,17.69,43.83,2.17,12.35,4.16,6.77
11/1/2020,0:00:00,Lettuce,0,28.62,10.7,45.51,4.73,7,3.29,5.76
11/1/2020,2:30:00,Lettuce,0,24.23,20.21,46,3.81,6.9,3.4,5.62
11/1/2020,4:45:00,Lettuce,0,26.4,16.31,49.77,5.22,9.68,4.43,5.53
11/1/2020,7:15:00,Lettuce,2.085,26.69,26.68,46.79,3.46,7.31,4.45,5.48
11/1/2020,9:30:00,Lettuce,1.665,30.46,27.46,42.39,4.58,4.67,0.24,6.34
11/1/2020,12:00:00,Lettuce,1.77,28.18,12.21,42.59,4.7,1.57,4.09,5.66
11/1/2020,14:30:00,Lettuce,1.975,28.3,12.99,41.98,1.03,2.93,3.32,6.35
11/1/2020,16:45:00,Lettuce,2.775,24.31,16.4,42.37,2.49,8.85,2.15,5.22
11/1/2020,19:15:00,Lettuce,2.97,28.9,29.64,41.97,4.63,2.92,1.67,5.52
11/1/2020,21:30:00,Lettuce,0,28.71,17.29,44.15,0.88,1.56,1.38,6.15
12/1/2020,0:00:00,Lettuce,0,24.93,15.42,47.98,3.11,4.21,1.05,6.33
12/1/2020,2:30:00,Lettuce,0,26.69,24.2,43.95,2.25,6.03,4.7,6.75
12/1/2020,4:45:00,Lettuce,0,28.7,27.22,43.74,3.22,3.56,0.49,5.26
12/1/2020,7:15:00,Lettuce,0.675,27.97,15.03,45.15,0.79,11.5,3.48,5.98
12/1/2020,9:30:00,Lettuce,0.715,27.6,23.62,42.81,4.36,3.72,3.69,5.96
12/1/2020,12:00:00,Lettuce,0.545,25.44,18.38,41.88,4.43,1.14,3.28,5.71
12/1/2020,14:30:00,Lettuce,0.44,31.67,10.28,44.61,5.34,6.29,0.94,5.43
12/1/2020,16:45:00,Lettuce,0.235,23.96,10.31,44.82,3.74,4.25,2.34,6.28
12/1/2020,19:15:00,Lettuce,2.345,23.74,24.17,44.55,3.07,2.65,-0.26,5.37
12/1/2020,21:30:00,Lettuce,0,23.88,14.85,41.1,3.47,7.07,3.68,6.25
13/1/2020,0:00:00,Lettuce,0,25.64,24.27,44.28,1.85,7.11,0.2,6.25
13/1/2020,2:30:00,Lettuce,0,29.85,19.44,42.63,3.97,3.01,2.23,5.67
13/1/2020,4:45:00,Lettuce,0,28.9,29.69,48.79,0.15,2.35,2.9,6
13/1/2020,7:15:00,Lettuce,2.8,24.91,17.28,44.49,2.18,0.93,2.84,5.27
13/1/2020,9:30:00,Lettuce,0.215,30.45,18.49,45.4,2.79,4.91,0.45,5.32
13/1/2020,12:00:00,Lettuce,2.315,29.83,12.83,41.98,4.11,3.92,1.52,6.06
13/1/2020,14:30:00,Lettuce,0.945,25.03,29.39,46.93,3.69,2.53,2.09,5.19
13/1/2020,16:45:00,Lettuce,1.715,23.14,27.84,48.71,2.51,5.62,1.6,5.81
13/1/2020,19:15:00,Lettuce,2.855,25.33,19.85,51.76,0.73,9.34,0.91,5.87
13/1/2020,21:30:00,Lettuce,0,25.25,29.31,41.26,4.4,5.6,1.15,5.69
14/1/2020,0:00:00,Lettuce,0,29.63,23.18,48.06,4.33,1.8,1.32,6.32
14/1/2020,2:30:00,Lettuce,0,27.91,29.72,46.58,2.11,10.25,2.45,5.21
14/1/2020,4:45:00,Lettuce,0,25.99,13.22,46.75,3.43,8.91,2.52,6.77
14/1/2020,7:15:00,Lettuce,1.27,30.7,25.66,48.17,0.26,5.25,4.93,5.45
14/1/2020,9:30:00,Lettuce,1.595,25.87,19.88,47.55,3.43,2.23,4.67,6.74
14/1/2020,12:00:00,Lettuce,0.195,24.5,21.62,41.64,4.06,3.65,1.82,5.47
14/1/2020,14:30:00,Lettuce,0.415,28.22,24.51,41.28,2.31,6.33,1.05,5.08
14/1/2020,16:45:00,Lettuce,2.515,23.68,12.3,45.23,1.48,5.59,0.45,5.42
14/1/2020,19:15:00,Lettuce,1.1,29.85,24.88,43.44,2.46,8.85,1.9,6.39
14/1/2020,21:30:00,Lettuce,0,26.03,22.51,41.82,2.31,6.97,5.24,5.18
15/1/2020,0:00:00,Lettuce,0,27.44,20.43,47.54,1.84,9.63,4.8,5.07
15/1/2020,2:30:00,Lettuce,0,25.83,24.54,42.97,3.12,9.54,1.1,6.76
15/1/2020,4:45:00,Lettuce,0,25.3,17.07,39.99,1.19,3.46,0.47,6.79
15/1/2020,7:15:00,Lettuce,0.205,23.89,14.9,49,2.25,7.92,4.51,5.54
15/1/2020,9:30:00,Lettuce,2.06,24.21,20.21,45.45,3.84,4.84,0.8,5.48
15/1/2020,12:00:00,Lettuce,0.94,27.93,27.62,43.89,0.65,1.16,1.92,6.19
15/1/2020,14:30:00,Lettuce,1.635,23.8,22.81,49.66,0.83,7.57,1.65,5.8
15/1/2020,16:45:00,Lettuce,0.75,23.01,23.01,41.79,3.05,1.74,0.47,5.83
15/1/2020,19:15:00,Lettuce,2.19,29.01,14.53,43,3.69,9.51,0.78,5.05
15/1/2020,21:30:00,Lettuce,0,27.66,16.37,37.54,1.01,4.77,3.13,5.34
16/1/2020,0:00:00,Lettuce,0,26.98,11.7,48.39,0.7,7.16,2.49,6.83
16/1/2020,2:30:00,Lettuce,0,31.18,14.99,44.07,4.09,11.25,3.67,6.78
16/1/2020,4:45:00,Lettuce,0,28.73,15.15,47.86,0.85,5.8,4.43,6.19
16/1/2020,7:15:00,Lettuce,0.755,31,26.22,38.84,3.66,4.25,5.62,6.24
16/1/2020,9:30:00,Lettuce,0.64,29.53,16.02,42.66,4.86,4.81,4.15,6.13
16/1/2020,12:00:00,Lettuce,1.27,31.74,19.88,47.15,3.13,11.82,1.62,6.24
16/1/2020,14:30:00,Lettuce,0.955,26.47,29.33,39.26,0.11,7.23,5.13,6.24
16/1/2020,16:45:00,Lettuce,0.335,23.8,25.55,45.51,3.54,4.52,3.34,6.54
16/1/2020,19:15:00,Lettuce,2.655,29.63,21.53,43.63,4.43,5.64,4.93,6.17
16/1/2020,21:30:00,Lettuce,0,23.31,17.92,49.64,2.41,3.07,1.41,5.77
17/1/2020,0:00:00,Lettuce,0,29.49,15.95,47.76,0.79,1.4,1.29,6.24
17/1/2020,2:30:00,Lettuce,0,29.71,25.04,42.58,3.55,3.52,1.71,5.62
17/1/2020,4:45:00,Lettuce,0,26.96,14.28,46.54,2.98,7.35,3.69,6.46
17/1/2020,7:15:00,Lettuce,0.735,26.3,12.12,52.11,2.07,8.91,4.93,5.03
17/1/2020,9:30:00,Lettuce,2.785,30.46,28.76,47.45,2.09,3.81,0.41,5.11
17/1/2020,12:00:00,Lettuce,2.325,31.14,25.28,50.09,2.85,10.94,4.55,6.68
17/1/2020,14:30:00,Lettuce,2.59,24.58,13.94,39.37,3.44,4.94,3.59,5.22
17/1/2020,16:45:00,Lettuce,2.33,29.82,16.15,44.52,3.58,5.63,-0.01,5.09
17/1/2020,19:15:00,Lettuce,0.56,23.9,21.12,47.84,2.84,7.44,4.29,5.63
17/1/2020,21:30:00,Lettuce,0,23.15,27.98,48.09,5.07,2.06,4.1,5.24
18/1/2020,0:00:00,Lettuce,0,23.88,16.47,47.65,3.11,5.23,3.42,6.81
18/1/2020,2:30:00,Lettuce,0,31.68,16,43.17,0.95,11.17,3.38,6.51
18/1/2020,4:45:00,Lettuce,0,24.31,22.28,44.79,5.22,2.05,2.4,6.55
18/1/2020,7:15:00,Lettuce,1.74,26.61,22.72,46.96,2.28,8.29,1.74,6.92
18/1/2020,9:30:00,Lettuce,0.305,24.56,24.48,46.06,1.82,8,2.3,5.1
18/1/2020,12:00:00,Lettuce,1.725,31.63,10.29,44.57,1.58,2.36,0.92,5.82
18/1/2020,14:30:00,Lettuce,1.065,26.12,12.17,42.84,3.8,0.87,3.72,6.42
18/1/2020,16:45:00,Lettuce,2.27,29.14,12.12,49.23,4.26,3.48,2.94,5.25
18/1/2020,19:15:00,Lettuce,1.61,25.19,19.05,46.2,4.73,5.76,2.98,5.63
18/1/2020,21:30:00,Lettuce,0,31.72,26.02,44.77,4.67,1.83,2.7,6.19
19/1/2020,0:00:00,Lettuce,0,31.27,25.32,45.71,4.68,7.56,3.68,5.92
19/1/2020,2:30:00,Lettuce,0,30.54,16.37,43.35,3.09,1.73,-0.46,5.25
19/1/2020,4:45:00,Lettuce,0,30.77,26.92,44.54,0.52,7.35,4.98,5.71
19/1/2020,7:15:00,Lettuce,1.315,29.04,29.35,50.68,1.09,4.94,3.31,6.33
19/1/2020,9:30:00,Lettuce,0.31,28.98,19.09,48.18,1.52,5.49,1.34,6.47
19/1/2020,12:00:00,Lettuce,2.12,31.18,22.64,43.11,2.12,7.4,3.68,6.54
19/1/2020,14:30:00,Lettuce,2.37,25.64,27.33,48.26,3.52,2.55,2.12,6.47
19/1/2020,16:45:00,Lettuce,1.65,28.03,17.35,42.54,1.36,1.1,3.1,6.6
19/1/2020,19:15:00,Lettuce,2.93,30.74,21.16,46.1,4.31,7.95,2.79,5.01
19/1/2020,21:30:00,Lettuce,0,29.88,15.54,43.15,1.31,6.76,3.92,6.96
20/1/2020,0:00:00,Lettuce,0,25.17,26.41,39.62,2.23,0.04,2.25,6.27
20/1/2020,2:30:00,Lettuce,0,28.25,15.86,46.83,2.74,7.64,2.7,6.86
20/1/2020,4:45:00,Lettuce,0,23.81,22.31,42.84,3.2,9,1.26,5.93
20/1/2020,7:15:00,Lettuce,1.18,31.75,29.8,44.22,2.87,4.76,1.55,5.01
20/1/2020,9:30:00,Lettuce,1.68,25.2,22.63,42.83,2.6,7.1,2.09,5.27
20/1/2020,12:00:00,Lettuce,0.59,24.28,23.87,48.01,1.81,6.03,3.36,6.6
20/1/2020,14:30:00,Lettuce,2.655,29.82,26.89,44.38,4.53,6.65,1.45,5.31
20/1/2020,16:45:00,Lettuce,1.92,23.38,17.58,48.85,4.71,8.27,3,6.67
20/1/2020,19:15:00,Lettuce,1.48,26.66,22.3,48.16,4.45,5.79,3.9,5.06
20/1/2020,21:30:00,Lettuce,0,31.93,26.57,46.9,0.95,4.99,1.6,6.55
21/1/2020,0:00:00,Lettuce,0,27.53,19.49,39.78,1.8,7.27,1.64,6.28
21/1/2020,2:30:00,Lettuce,0,30.33,29.24,43.98,0.78,8.49,1.24,5.65
21/1/2020,4:45:00,Lettuce,0,25.63,25.95,40.61,3.04,-0.19,3.5,5.45
21/1/2020,7:15:00,Lettuce,0.26,28.43,23.75,45.67,2.32,6.08,4.29,6.42
21/1/2020,9:30:00,Lettuce,2.29,23.6,18.26,42.66,2.92,3.19,2.2,6.74
21/1/2020,12:00:00,Lettuce,2.375,31.69,21.94,47.24,3.8,5.86,3.7,6.68
21/1/2020,14:30:00,Lettuce,0.42,25.83,18.5,47.75,3.88,0.86,2.54,6.78
21/1/2020,16:45:00,Lettuce,1.01,27.75,22.95,43.43,0.59,4.81,4.48,6.19
21/1/2020,19:15:00,Lettuce,2.97,23.23,26.63,47.16,4.06,6.25,0.37,5.95
21/1/2020,21:30:00,Lettuce,0,28.87,22.17,46.13,3.4,7.71,1.99,6.97
22/1/2020,0:00:00,Lettuce,0,23.21,17.61,38.67,3.99,8.36,4.16,5.72
22/1/2020,2:30:00,Lettuce,0,26.91,14.42,45.68,2.17,8.05,0.31,6.87
22/1/2020,4:45:00,Lettuce,0,27.7,13.47,38.57,5,1.49,1.63,6.94
22/1/2020,7:15:00,Lettuce,2.41,28.68,23.94,48.17,0.89,8.06,0.93,6.89
22/1/2020,9:30:00,Lettuce,1.655,28.85,10.7,53.35,5.67,8.84,2.18,6.4
22/1/2020,12:00:00,Lettuce,0.63,30.53,26.91,47.67,4.48,3.35,4.01,6.47
22/1/2020,14:30:00,Lettuce,1.59,28.86,24,47.16,2.06,5.38,0.35,5.05
22/1/2020,16:45:00,Lettuce,1.45,26.82,18.5,42.7,1.53,4.86,1.81,6.6
22/1/2020,19:15:00,Lettuce,2.75,23.74,16.28,43,4.49,3.59,5.06,5.91
22/1/2020,21:30:00,Lettuce,0,30.23,15.12,46.11,2.32,5.39,2.14,5.69
23/1/2020,0:00:00,Lettuce,0,26.97,19.22,42.11,1.07,7.27,0.29,6.66
23/1/2020,2:30:00,Lettuce,0,27.42,10.11,39.28,1.71,8.14,2.89,6.59
23/1/2020,4:45:00,Lettuce,0,23.76,24.08,44.02,0.39,3.24,2.2,6.46
23/1/2020,7:15:00,Lettuce,1.815,29.11,27.31,48.77,1.28,0.79,-0.88,6.44
23/1/2020,9:30:00,Lettuce,1.24,23.93,29.37,50.95,1.09,6.9,2.29,6.05
23/1/2020,12:00:00,Lettuce,1.865,23.9,13.62,46.06,2.94,7.82,1.28,6.83
23/1/2020,14:30:00,Lettuce,0.555,25.87,27.97,42.28,4.95,7.78,0.46,6.09
23/1/2020,16:45:00,Lettuce,0.855,28.61,21.96,49.56,3.17,5.02,3.73,6.89
23/1/2020,19:15:00,Lettuce,0.995,26.3,11.67,45.31,3.92,8.48,2.71,6.75
23/1/2020,21:30:00,Lettuce,0,26.59,23.11,44.7,0.48,5.89,2.03,5.56
24/1/2020,0:00:00,Lettuce,0,27.16,14.76,40.24,0.2,1.92,0.92,6.9
24/1/2020,2:30:00,Lettuce,0,28.6,11.2,42.24,1.94,2.75,2.57,5.5
24/1/2020,4:45:00,Lettuce,0,24.2,18.05,48.39,0.03,8.14,2.61,5.8
24/1/2020,7:15:00,Lettuce,2.215,23.23,20.82,43.95,0.99,9.19,0.5,6.58
24/1/2020,9:30:00,Lettuce,2.645,24.57,28.32,51.99,2.43,4.96,3.49,5
24/1/2020,12:00:00,Lettuce,1.74,30.78,14.43,40.34,4.57,2.55,0.42,5.35
24/1/2020,14:30:00,Lettuce,0.14,27.22,21.73,40.38,3.65,6.22,3.37,5.98
24/1/2020,16:45:00,Lettuce,2.825,27.58,29.2,44.33,3.71,7.89,3.56,5.92
24/1/2020,19:15:00,Lettuce,1.4,26.66,22.4,43.8,1.21,4.98,0.89,6.34
24/1/2020,21:30:00,Lettuce,0,28.48,24.27,46.5,1.56,4.02,2.13,5.6
25/1/2020,0:00:00,Lettuce,0,30.49,27.63,47.12,-0.01,6.58,1.54,5.06
25/1/2020,2:30:00,Lettuce,0,28.74,15.38,42.33,2.59,3.49,1.42,6.63
25/1/2020,4:45:00,Lettuce,0,29.32,25.44,42.02,3.64,8.86,2.37,5.47
25/1/2020,7:15:00,Lettuce,1.55,30.97,27.34,44.26,3.27,4.12,3.95,5.94
25/1/2020,9:30:00,Lettuce,0.235,27.97,11.76,40.03,3.94,5.43,-0.42,5.69
25/1/2020,12:00:00,Lettuce,1.57,25.06,23.2,44.18,2.37,9.22,1.48,6.88
25/1/2020,14:30:00,Lettuce,1.82,29.71,28.04,45.77,3.75,4.9,4.32,6.57
25/1/2020,16:45:00,Lettuce,2.24,28.79,16.96,43.73,1.99,0.12,1.76,5.53
25/1/2020,19:15:00,Lettuce,1.02,31.17,16.7,44.87,4.76,5.82,2.82,5.29
25/1/2020,21:30:00,Lettuce,0,24.42,25.96,44.75,4.96,7.49,1.62,6.45
26/1/2020,0:00:00,Lettuce,0,28.92,13.04,48.41,4.68,9.76,4.08,6.46
26/1/2020,2:30:00,Lettuce,0,23.08,12.05,42.57,2.24,8.98,3.64,6.56
26/1/2020,4:45:00,Lettuce,0,25.01,20.62,43.82,0.48,6.77,3.23,6.97
26/1/2020,7:15:00,Lettuce,0.095,29.34,10.53,50.28,1.13,2.5,1.05,6.84
26/1/2020,9:30:00,Lettuce,0.42,29.62,29.19,37.67,1.87,7.83,0.96,6.09
26/1/2020,12:00:00,Lettuce,1.345,31.27,10.21,54.51,1.93,10.52,3.61,5.73
26/1/2020,14:30:00,Lettuce,0.23,30.27,15.79,45.26,3.77,7.5,1.08,6.89
26/1/2020,16:45:00,Lettuce,1.235,30.74,14.41,36.66,5.31,1.88,1.83,5.7
26/1/2020,19:15:00,Lettuce,0.265,25.1,13.68,48.83,5.21,6.24,4.54,6.22
26/1/2020,21:30:00,Lettuce,0,25.65,21.29,48.99,5.16,10.17,4.3,5.08
27/1/2020,0:00:00,Lettuce,0,29.03,16.11,46.74,2.8,10.43,3.52,6.45
27/1/2020,2:30:00,Lettuce,0,23.35,12.66,50.24,2.6,2.15,1,6.66
27/1/2020,4:45:00,Lettuce,0,26.11,24.29,47.67,2.68,7.44,2.05,6
27/1/2020,7:15:00,Lettuce,1.435,30.27,21.29,45.8,1.12,8.63,2.32,5.04
27/1/2020,9:30:00,Lettuce,1.545,26.54,25.47,47.74,2.45,7.31,3.9,6.95
27/1/2020,12:00:00,Lettuce,2.695,31.98,27.38,47.29,4.42,2.01,4.76,6.15
27/1/2020,14:30:00,Lettuce,0.735,25.63,29.61,46.15,-0.41,1.55,3.08,6.13
27/1/2020,16:45:00,Lettuce,0.22,31.5,15.87,40.08,3.2,3.83,1.42,6.59
27/1/2020,19:15:00,Lettuce,0.475,24.6,19.12,45.62,1.56,9.23,4.01,5.65
27/1/2020,21:30:00,Lettuce,0,27.36,15.22,41.47,0.52,3.9,2.18,6.67
28/1/2020,0:00:00,Lettuce,0,23.26,25.55,41.79,3.29,2.18,1.02,5.95
28/1/2020,2:30:00,Lettuce,0,28.86,10.28,44.25,2.66,9.44,2.22,5.25
28/1/2020,4:45:00,Lettuce,0,23.32,15.95,47.53,2.98,8.39,3.39,6.57
28/1/2020,7:15:00,Lettuce,1.505,30.12,10.51,45.24,0.46,2.31,4.68,5.33
28/1/2020,9:30:00,Lettuce,0.61,28.02,16.99,49.02,2.28,7.11,2.76,5.79
28/1/2020,12:00:00,Lettuce,0.83,28.53,28.86,41.73,3.57,10.79,2.76,5.5
